"","species","year","index","se","ZIP3_ID"
"1","Blaumeise",2006,100,0,"1"
"2","Blaumeise",2006,100,0,"10"
"3","Blaumeise",2006,100,0,"100"
"4","Blaumeise",2006,100,0,"1000"
"5","Blaumeise",2006,100,0,"1001"
"6","Blaumeise",2006,100,0,"1002"
"7","Blaumeise",2006,100,0,"1003"
"8","Blaumeise",2006,100,0,"1004"
"9","Blaumeise",2006,100,0,"1005"
"10","Blaumeise",2006,100,0,"1006"
"11","Blaumeise",2006,100,0,"1007"
"12","Blaumeise",2006,100,0,"1008"
"13","Blaumeise",2006,100,0,"1009"
"14","Blaumeise",2006,100,0,"101"
"15","Blaumeise",2006,100,0,"1010"
"16","Blaumeise",2006,100,0,"1011"
"17","Blaumeise",2006,100,0,"1012"
"18","Blaumeise",2006,100,0,"1013"
"19","Blaumeise",2006,100,0,"1015"
"20","Blaumeise",2006,100,0,"1016"
"21","Blaumeise",2006,100,0,"1017"
"22","Blaumeise",2006,100,0,"1018"
"23","Blaumeise",2006,100,0,"1019"
"24","Blaumeise",2006,100,0,"102"
"25","Blaumeise",2006,100,0,"1020"
"26","Blaumeise",2006,100,0,"1021"
"27","Blaumeise",2006,100,0,"1022"
"28","Blaumeise",2006,100,0,"1023"
"29","Blaumeise",2006,100,0,"1024"
"30","Blaumeise",2006,100,0,"1025"
"31","Blaumeise",2006,100,0,"1026"
"32","Blaumeise",2006,100,0,"1027"
"33","Blaumeise",2006,100,0,"1028"
"34","Blaumeise",2006,100,0,"1029"
"35","Blaumeise",2006,100,0,"103"
"36","Blaumeise",2006,100,0,"1030"
"37","Blaumeise",2006,100,0,"1031"
"38","Blaumeise",2006,100,0,"1032"
"39","Blaumeise",2006,100,0,"1033"
"40","Blaumeise",2006,100,0,"1034"
"41","Blaumeise",2006,100,0,"1035"
"42","Blaumeise",2006,100,0,"1036"
"43","Blaumeise",2006,100,0,"1037"
"44","Blaumeise",2006,100,0,"1038"
"45","Blaumeise",2006,100,0,"1039"
"46","Blaumeise",2006,100,0,"104"
"47","Blaumeise",2006,100,0,"1040"
"48","Blaumeise",2006,100,0,"1041"
"49","Blaumeise",2006,100,0,"1042"
"50","Blaumeise",2006,100,0,"1043"
"51","Blaumeise",2006,100,0,"1044"
"52","Blaumeise",2006,100,0,"1045"
"53","Blaumeise",2006,100,0,"1046"
"54","Blaumeise",2006,100,0,"1047"
"55","Blaumeise",2006,100,0,"1048"
"56","Blaumeise",2006,100,0,"1049"
"57","Blaumeise",2006,100,0,"105"
"58","Blaumeise",2006,100,0,"1050"
"59","Blaumeise",2006,100,0,"1051"
"60","Blaumeise",2006,100,0,"1052"
"61","Blaumeise",2006,100,0,"1053"
"62","Blaumeise",2006,100,0,"1054"
"63","Blaumeise",2006,100,0,"1055"
"64","Blaumeise",2006,100,0,"1056"
"65","Blaumeise",2006,100,0,"1057"
"66","Blaumeise",2006,100,0,"1058"
"67","Blaumeise",2006,100,0,"1059"
"68","Blaumeise",2006,100,0,"106"
"69","Blaumeise",2006,100,0,"1060"
"70","Blaumeise",2006,100,0,"1061"
"71","Blaumeise",2006,100,0,"1062"
"72","Blaumeise",2006,100,0,"1063"
"73","Blaumeise",2006,100,0,"1064"
"74","Blaumeise",2006,100,0,"1065"
"75","Blaumeise",2006,100,0,"1066"
"76","Blaumeise",2006,100,0,"1067"
"77","Blaumeise",2006,100,0,"1068"
"78","Blaumeise",2006,100,0,"1069"
"79","Blaumeise",2006,100,0,"107"
"80","Blaumeise",2006,100,0,"1070"
"81","Blaumeise",2006,100,0,"1071"
"82","Blaumeise",2006,100,0,"1072"
"83","Blaumeise",2006,100,0,"1073"
