"","species","year","index","se","ZIP3_ID"
"1","Amsel",2006,100,0,"1"
"2","Amsel",2006,100,0,"10"
"3","Amsel",2006,100,0,"100"
"4","Amsel",2006,100,0,"1000"
"5","Amsel",2006,100,0,"1001"
"6","Amsel",2006,100,0,"1002"
"7","Amsel",2006,100,0,"1003"
"8","Amsel",2006,100,0,"1004"
"9","Amsel",2006,100,0,"1005"
"10","Amsel",2006,100,0,"1006"
"11","Amsel",2006,100,0,"1007"
"12","Amsel",2006,100,0,"1008"
"13","Amsel",2006,100,0,"1009"
"14","Amsel",2006,100,0,"101"
"15","Amsel",2006,100,0,"1010"
"16","Amsel",2006,100,0,"1011"
"17","Amsel",2006,100,0,"1012"
"18","Amsel",2006,100,0,"1013"
"19","Amsel",2006,100,0,"1015"
"20","Amsel",2006,100,0,"1016"
"21","Amsel",2006,100,0,"1017"
"22","Amsel",2006,100,0,"1018"
"23","Amsel",2006,100,0,"1019"
"24","Amsel",2006,100,0,"102"
"25","Amsel",2006,100,0,"1020"
"26","Amsel",2006,100,0,"1021"
"27","Amsel",2006,100,0,"1022"
"28","Amsel",2006,100,0,"1023"
"29","Amsel",2006,100,0,"1024"
"30","Amsel",2006,100,0,"1025"
"31","Amsel",2006,100,0,"1026"
"32","Amsel",2006,100,0,"1027"
"33","Amsel",2006,100,0,"1028"
"34","Amsel",2006,100,0,"1029"
"35","Amsel",2006,100,0,"103"
"36","Amsel",2006,100,0,"1030"
"37","Amsel",2006,100,0,"1031"
"38","Amsel",2006,100,0,"1032"
"39","Amsel",2006,100,0,"1033"
"40","Amsel",2006,100,0,"1034"
"41","Amsel",2006,100,0,"1035"
"42","Amsel",2006,100,0,"1036"
"43","Amsel",2006,100,0,"1037"
"44","Amsel",2006,100,0,"1038"
"45","Amsel",2006,100,0,"1039"
"46","Amsel",2006,100,0,"104"
"47","Amsel",2006,100,0,"1040"
"48","Amsel",2006,100,0,"1041"
"49","Amsel",2006,100,0,"1042"
"50","Amsel",2006,100,0,"1043"
"51","Amsel",2006,100,0,"1044"
"52","Amsel",2006,100,0,"1045"
"53","Amsel",2006,100,0,"1046"
"54","Amsel",2006,100,0,"1047"
"55","Amsel",2006,100,0,"1048"
"56","Amsel",2006,100,0,"1049"
"57","Amsel",2006,100,0,"105"
"58","Amsel",2006,100,0,"1050"
"59","Amsel",2006,100,0,"1051"
"60","Amsel",2006,100,0,"1052"
"61","Amsel",2006,100,0,"1053"
"62","Amsel",2006,100,0,"1054"
"63","Amsel",2006,100,0,"1055"
"64","Amsel",2006,100,0,"1056"
"65","Amsel",2006,100,0,"1057"
"66","Amsel",2006,100,0,"1058"
"67","Amsel",2006,100,0,"1059"
"68","Amsel",2006,100,0,"106"
"69","Amsel",2006,100,0,"1060"
"70","Amsel",2006,100,0,"1061"
"71","Amsel",2006,100,0,"1062"
"72","Amsel",2006,100,0,"1063"
"73","Amsel",2006,100,0,"1064"
"74","Amsel",2006,100,0,"1065"
"75","Amsel",2006,100,0,"1066"
"76","Amsel",2006,100,0,"1067"
"77","Amsel",2006,100,0,"1068"
"78","Amsel",2006,100,0,"1069"
"79","Amsel",2006,100,0,"107"
"80","Amsel",2006,100,0,"1070"
"81","Amsel",2006,100,0,"1071"
"82","Amsel",2006,100,0,"1072"
"83","Amsel",2006,100,0,"1073"
"84","Amsel",2006,100,0,"1074"
"85","Amsel",2006,100,0,"1075"
"86","Amsel",2006,100,0,"1076"
"87","Amsel",2006,100,0,"1077"
"88","Amsel",2006,100,0,"1078"
"89","Amsel",2006,100,0,"1079"
"90","Amsel",2006,100,0,"108"
"91","Amsel",2006,100,0,"1080"
"92","Amsel",2006,100,0,"1081"
"93","Amsel",2006,100,0,"1082"
"94","Amsel",2006,100,0,"1083"
"95","Amsel",2006,100,0,"1084"
"96","Amsel",2006,100,0,"1085"
"97","Amsel",2006,100,0,"1086"
"98","Amsel",2006,100,0,"1087"
"99","Amsel",2006,100,0,"1088"
"100","Amsel",2006,100,0,"1089"
"101","Amsel",2006,100,0,"109"
"102","Amsel",2006,100,0,"1090"
"103","Amsel",2006,100,0,"1091"
"104","Amsel",2006,100,0,"1092"
"105","Amsel",2006,100,0,"1093"
"106","Amsel",2006,100,0,"1094"
"107","Amsel",2006,100,0,"1095"
"108","Amsel",2006,100,0,"1096"
"109","Amsel",2006,100,0,"1097"
"110","Amsel",2006,100,0,"1098"
"111","Amsel",2006,100,0,"1099"
"112","Amsel",2006,100,0,"11"
"113","Amsel",2006,100,0,"110"
"114","Amsel",2006,100,0,"1100"
"115","Amsel",2006,100,0,"1101"
"116","Amsel",2006,100,0,"1102"
"117","Amsel",2006,100,0,"1103"
"118","Amsel",2006,100,0,"1104"
"119","Amsel",2006,100,0,"1105"
"120","Amsel",2006,100,0,"1106"
"121","Amsel",2006,100,0,"1107"
"122","Amsel",2006,100,0,"1108"
"123","Amsel",2006,100,0,"1109"
"124","Amsel",2006,100,0,"111"
"125","Amsel",2006,100,0,"1110"
"126","Amsel",2006,100,0,"1111"
"127","Amsel",2006,100,0,"1112"
"128","Amsel",2006,100,0,"1113"
"129","Amsel",2006,100,0,"1114"
"130","Amsel",2006,100,0,"1115"
"131","Amsel",2006,100,0,"1116"
"132","Amsel",2006,100,0,"1117"
"133","Amsel",2006,100,0,"1118"
"134","Amsel",2006,100,0,"1119"
"135","Amsel",2006,100,0,"112"
"136","Amsel",2006,100,0,"1120"
"137","Amsel",2006,100,0,"1121"
"138","Amsel",2006,100,0,"1122"
"139","Amsel",2006,100,0,"1123"
"140","Amsel",2006,100,0,"1124"
"141","Amsel",2006,100,0,"1125"
"142","Amsel",2006,100,0,"1126"
"143","Amsel",2006,100,0,"1127"
