ID,Species,Species_lat,Species_eng,Habitat,Nest_site,Diet,Migration
1,Amsel,Turdus_merula,Blackbird,several,shrubs,invertebrates,short-dist
2,Bachstelze,Motacilla_alba,White_Wagtail,settlements,buildings,insectivorous,short-dist
3,Blaumeise,Cyanistes_caeruleus,Eurasian_Blue_Tit,forests,trees,insectivorous,resident
4,Buchfink,Fringilla_coelebs,Chaffinch,forests,trees,insectivorous,short-dist
5,Buntspecht,Dendrocopos_major,Great_Spotted_Woodpecker,forests,trees,omnivorous,resident
6,Dohle,Corvus_monedula,Jackdaw,settlements,buildings,invertebrates,short-dist
7,Eichelhaeher,Garrulus_glandarius,Eurasian_Jay,forests,trees,omnivorous,resident
8,Elster,Pica_pica,Eurasian_Magpie,settlements,trees,invertebrates,resident
9,Feldsperling,Passer_montanus,Tree_Sparrow,farmland,trees,granivorous,resident
10,Gartenbaumlaeufer,Certhia_brachydactyla,Short-toed_Treecreeper,forests,trees,insectivorous,resident
11,Gimpel,Pyrrhula_pyrrhula,Bullfinch,forests,trees,granivorous,resident
12,Girlitz,Serinus_serinus,Serin,settlements,trees,granivorous,short-dist
13,Goldammer,Emberiza_citrinella,Yellowhammer,farmland,ground-level,insectivorous,short-dist
14,Gruenfink,Chloris_chloris,Greenfinch,settlements,indifferent,granivorous,short-dist
15,Gruenspecht,Picus_viridis,European_Green_Woodpecker,several,trees,insectivorous,resident
16,Haubenmeise,Lophophanes_cristatus,Crested_Tit,forests,trees,insectivorous,resident
17,Hausrotschwanz,Phoenicurus_ochruros,Black_Redstart,settlements,buildings,insectivorous,short-dist
18,Haussperling,Passer_domesticus,House_Sparrow,settlements,buildings,granivorous,resident
19,Heckenbraunelle,Prunella_modularis,Dunnock,several,shrubs,insectivorous,short-dist
20,Kleiber,Sitta_europaea,Eurasian_Nuthatch,forests,trees,insectivorous,resident
21,Kohlmeise,Parus_major,Great_Tit,several,trees,insectivorous,resident
22,Moenchsgrasmuecke,Sylvia_atricapilla,Blackcap,forests,shrubs,insectivorous,short-dist
23,Nebelkraehe,Corvus_corone,Hooded_Crow,several,trees,omnivorous,resident
24,Rabenkraehe,Corvus_corone,Carrion_Crow,several,trees,omnivorous,resident
25,Ringeltaube,Columba_palumbus,Woodpigeon,several,trees,granivorous,short-dist
26,Rotkehlchen,Erithacus_rubecula,European_Robin,forests,ground-level,insectivorous,short-dist
27,Saatkraehe,Corvus_frugilegus,Rook,farmland,trees,omnivorous,short-dist
28,Schwanzmeise,Aegithalos_caudatus,Long-tailed_Tit,forests,trees,insectivorous,resident
29,Singdrossel,Turdus_philomelos,Song_Thrush,forests,trees,invertebrates,short-dist
30,Star,Sturnus_vulgaris,Common_Starling,farmland,trees,invertebrates,short-dist
31,Stieglitz,Carduelis_carduelis,Goldfinch,several,trees,granivorous,short-dist
32,Tannenmeise,Periparus_ater,Coal_Tit,forests,trees,insectivorous,resident
33,Tuerkentaube,Streptopelia_decaocto,Eurasian_Collared_Dove,settlements,trees,granivorous,resident
34,Zaunkoenig,Troglodytes_troglodytes,Wren,forests,shrubs,insectivorous,short-dist
35,Zilpzalp,Phylloscopus_collybita,Common_Chiffchaff,forests,ground-level,insectivorous,short-dist
