Species,Species_lat,Species_eng,DDA_2007,Rote_liste_2015,DDA_2021
Alpenstrandlaeufer,Calidris_alpina,Dunlin,CR,CR,CR
Auerhuhn,Tetrao_urogallus,Capercaillie,CR,CR,CR
Bekassine,Gallinago_gallinago,Common_Snipe,CR,CR,CR
Brachpieper,Anthus_campestris,Tawny_Pipit,CR,CR,CR
Bruchwasserlaeufer,Tringa_glareola,Wood_Sandpiper,CR,CR,CR
Goldregenpfeifer,Pluvialis_apricaria,European_Golden_Plover,CR,CR,CR
Grosser Brachvogel,Numenius_arquata,Curlew,CR,CR,CR
Grosstrappe,Otis_tarda,Great_Bustard,CR,CR,CR
Haubenlerche,Galerida_cristata,Crested_Lark,CR,CR,CR
Kampflaeufer,Calidris_pugnax,Ruff,CR,CR,CR
Lachseeschwalbe,Gelochelidon_nilotica,Gull-billed_Tern,CR,CR,CR
Moorente,Aythya_nyroca,Ferruginous_Duck,CR,CR,CR
Raubseeschwalbe,Hydroprogne_caspia,Caspian_Tern,CR,CR,CR
Rotkopfwuerger,Lanius_senator,Woodchat_Shrike,CR,CR,CR
Sandregenpfeifer,Charadrius_hiaticula,Common_Ringed_Plover,CR,CR,CR
Schreiadler,Clanga_pomarina,Lesser_Spotted_Eagle,CR,CR,CR
Seeregenpfeifer,Charadrius_alexandrinus,Kentish_Plover,CR,CR,CR
Seggenrohrsaenger,Acrocephalus_paludicola,Aquatic_Warbler,CR,CR,CR
Steinroetel,Monticola_saxatilis,Rufous-tailed_Rock-Thrush,CR,EN,CR
Steinschmaetzer,Oenanthe_oenanthe,Northern_Wheatear,CR,CR,CR
Sumpfohreule,Asio_flammeus,Short-eared_Owl,CR,CR,CR
Uferschnepfe,Limosa_limosa,Black-tailed_Godwit,CR,CR,CR
Zippammer,Emberiza_cia,Rock_Bunting,CR,CR,CR
Zwergseeschwalbe,Sterna_albifrons,Little_Tern,CR,CR,CR
Brandseeschwalbe,Thalasseus_sandvicensis,Sandwich_Tern,EN,CR,CR
Knaekente,Spatula_querquedula,Garganey,EN,EN,CR
Kornweihe,Circus_cyaneus,Hen_Harrier,EN,CR,CR
Kuestenseeschwalbe,Sterna_paradisaea,Arctic_Tern,EN,CR,CR
Raubwuerger,Lanius_excubitor,Great_Grey_Shrike,EN,EN,CR
Wachtelkoenig,Crex_crex,Corncrake,EN,EN,CR
Beutelmeise,Remiz_pendulinus,Penduline_Tit,LC,LC,CR
Sperbergrasmuecke,Curruca_nisoria,Barred_Warbler,LC,VU,CR
Nachtreiher,Nycticorax_nycticorax,Night_Heron,CR,EN,EN
Birkhuhn,Lyrurus_tetrix,Black_Grouse,EN,CR,EN
Flussseeschwalbe,Sterna_hirundo,Common_Tern,EN,EN,EN
