"","ZIP_3","ZIP3_ID"
"1","521",1026
"2","413",283
"3","523",1023
"4","546",288
"5","539",330
"6","545",235
"7","544",240
"8","414",324
"9","404",1070
"10","465",90
"11","535",342
"12","661",260
"13","544",241
"14","545",234
"15","463",95
"16","506",958
"17","507",957
"18","451",160
"19","544",243
"20","568",425
"21","485",196
"22","531",294
"23","452",159
"24","742",934
"25","880",1084
"26","732",971
"27","309",597
"28","296",724
"29","217",525
"30","979",1072
"31","731",972
"32","376",631
"33","883",1074
"34","731",974
"35","342",419
"36","310",663
"37","587",102
"38","794",498
"39","495",643
"40","792",502
"41","586",104
"42","554",435
"43","594",222
"44","793",501
"45","590",227
"46","655",307
"47","765",1044
"48","672",469
"49","671",476
"50","357",570
"51","338",549
"52","494",645
"53","676",451
"54","672",470
"55","262",799
"56","445",329
"57","443",336
"58","665",253
"59","565",350
"60","562",364
"61","268",784
"62","485",194
"63","265",789
"64","665",251
"65","566",349
"66","666",249
"67","990",1158
"68","193",762
"69","822",19
"70","913",895
"71","823",17
"72","064",687
"73","961",58
"74","912",897
"75","994",1147
"76","852",1004
"77","851",1005
"78","953",156
"79","824",13
"80","821",20
"81","951",93
"82","063",689
"83","067",673
"84","061",692
"85","856",1055
"86","169",869
"87","079",739
"88","926",840
"89","925",847
"90","927",835
"91","840",49
"92","042",868
"93","182",698
"94","841",45
"95","845",80
"96","927",838
"97","832",135
"98","924",849
"99","048",858
"100","183",697
"101","172",719
"102","934",50
"103","843",83
"104","094",1123
"105","942",27
"106","941",1171
"107","940",1176
"108","049",857
"109","105",363
"110","121",527
"111","941",1174
"112","109",431
"113","133",824
"114","941",1175
"115","162",888
"116","102",383
"117","120",530
"118","333",509
"119","336",499
"120","287",896
"121","643",1035
"122","355",574
"123","275",922
"124","753",1121
"125","750",1131
"126","603",62
"127","642",1037
"128","345",408
"129","752",1124
"130","351",585
"131","355",575
"132","331",511
"133","724",72
"134","282",902
"135","691",187
"136","711",125
"137","712",124
"138","354",576
"139","711",126
"140","647",1099
"141","636",1161
"142","328",646
"143","316",675
"144","344",409
"145","725",71
"146","635",1163
"147","272",927
"148","886",1064
"149","727",66
"150","716",116
"151","704",9
"152","701",11
"153","638",1156
"154","740",942
"155","703",10
"156","346",406
"157","363",559
"158","737",1038
"159","726",67
"160","216",528
"161","361",561
"162","746",968
"163","311",662
"164","248",531
"165","254",848
"166","881",1080
"167","372",636
"168","972",1020
"169","891",332
"170","245",543
"171","895",320
"172","200",623
"173","998",1169
"174","223",400
"175","221",404
"176","241",557
"177","221",403
"178","293",727
"179","242",550
"180","213",478
"181","214",471
"182","385",613
"183","381",618
"184","923",851
"185","963",56
"186","812",44
"187","857",1050
"188","063",688
"189","850",1009
"190","814",42
"191","391",713
"192","808",815
"193","836",129
"194","933",51
"195","855",1057
"196","952",92
"197","854",1060
"198","193",764
