fid,mylevel,plz_name,plz_code,krs_code,lan_name,lan_code,krs_name,ZIP_3,CatchArea,ClassArea,Percentage,Joined lay,ZIP3_ID,CatchArea3,ClassArea3
1,1,Herzogenrath,"52134","05334",Nordrhein-Westfalen,"05",Kreis Städteregion Aachen,"521",33349378.6168813,13821212.776605,41.4436890575489,"521",1026,67909166.81,24525398.9725068
2,1,Niederkrüchten,"41372","05166",Nordrhein-Westfalen,"05",Kreis Viersen,"413",66918357.1806387,14301512.5279541,21.3715834197016,"413",283,260347507.3,45916842.8149895
3,1,Langerwehe,"52379","05358",Nordrhein-Westfalen,"05",Kreis Düren,"523",41482796.1996563,4930671.45224263,11.8860633900168,"523",1023,636829189.5,105446520.426381
4,1,Schönecken,"54614","07232",Rheinland-Pfalz,"07",Landkreis Eifelkreis Bitburg-Prüm,"546",36078414.5138327,1211042.4338988,3.35669527116962,"546",288,1174615893,40488794.146563
5,1,Dahlem,"53949","05366",Nordrhein-Westfalen,"05",Kreis Euskirchen,"539",95259728.0305164,3303228.72982728,3.46760252010072,"539",330,815399655.4,43553817.8579515
6,1,Lissendorf,"54587","07233",Rheinland-Pfalz,"07",Landkreis Vulkaneifel,"545",16727919.8268759,1064874.03512028,6.36584851040113,"545",235,196541730.2,12257112.8416197
7,1,Irsch,"54451","07235",Rheinland-Pfalz,"07",Landkreis Trier-Saarburg,"544",15324706.7218993,750185.964586293,4.89527126489319,"544",240,152969376.7,8194161.49889443
8,1,Neuss,"41462","05162",Nordrhein-Westfalen,"05",Kreis Rhein-Kreis Neuss,"414",11174442.9325004,6623413.35595943,59.272872893695,"414",324,99552860.89,43293278.4860852
9,1,Neuss,"41468","05162",Nordrhein-Westfalen,"05",Kreis Rhein-Kreis Neuss,"414",18049370.4523888,7707024.17915735,42.6996841772802,"414",324,99552860.89,43293278.4860852
10,1,Düsseldorf,"40489","05111",Nordrhein-Westfalen,"05",Kreisfreie Stadt Düsseldorf,"404",32110312.0537843,6708049.91184083,20.8906406783122,"404",1070,66666880.09,31556992.3420118
11,1,Dinslaken,"46539","05170",Nordrhein-Westfalen,"05",Kreis Wesel,"465",31618833.0492926,8144544.79288698,25.7585242952829,"465",90,318705498.7,46706279.871151
12,1,"Antweiler, Aremberg, Dorsel, Eichenbach, Aremberg, Fuchshofen und Müsch","53533","07131",Rheinland-Pfalz,"07",Landkreis Ahrweiler,"535",33784193.9407964,873702.203370101,2.5861271247175,"535",342,179026253.8,5936169.01315245
13,1,Saarbrücken,"66127","10041",Saarland,"10",Landkreis Regionalverband Saarbrücken,"661",9317904.05220756,3168018.7717528,33.9992637185639,"661",260,167537004.3,54347074.3573116
14,1,Reinsfeld,"54421","07235",Rheinland-Pfalz,"07",Landkreis Trier-Saarburg,"544",24684247.694654,1183922.3128322,4.79626654001129,"544",241,112360486.3,3790102.29990735
15,1,Gillenfeld,"54558","07233",Rheinland-Pfalz,"07",Landkreis Vulkaneifel,"545",36318214.992598,1503476.29857409,4.13973070780191,"545",234,528658605.9,38258218.3587871
16,1,Velen,"46342","05554",Nordrhein-Westfalen,"05",Kreis Borken,"463",70866133.4574939,4272199.27378413,6.02854856804997,"463",95,380719761.4,28782330.0161612
17,1,Köln,"50676","05315",Nordrhein-Westfalen,"05",Kreisfreie Stadt Köln,"506",1374815.475179,1298181.23077817,94.4258523573244,"506",958,15312196.59,11703983.1067078
18,1,Köln,"50733","05315",Nordrhein-Westfalen,"05",Kreisfreie Stadt Köln,"507",3063216.10067031,2806548.83061312,91.6209871709337,"507",957,83910433.49,33056062.3770467
19,1,Essen,"45127","05113",Nordrhein-Westfalen,"05",Kreisfreie Stadt Essen,"451",2328881.5535273,2328381.45427267,99.9785262048265,"451",160,65621005.16,44960599.4429767
20,1,Bernkastel-Kues u.a.,"54470","07231",Rheinland-Pfalz,"07",Landkreis Bernkastel-Wittlich,"544",35662426.6694124,4434786.87660238,12.4354602049728,"544",243,78794782.6,7916171.77769442
21,1,Alflen,"56828","07135",Rheinland-Pfalz,"07",Landkreis Cochem-Zell,"568",13546543.4985549,3040986.90839283,22.44843423503,"568",425,255255190.7,13987960.5567801
22,1,Nordhorn,"48529","03456",Niedersachsen,"03",Landkreis Grafschaft Bentheim,"485",25656655.2708323,8737598.53694976,34.0558753458525,"485",196,149928603.2,21722139.2783041
23,1,Bonn,"53119","05314",Nordrhein-Westfalen,"05",Kreisfreie Stadt Bonn,"531",3634971.5611237,3616452.23946886,99.4905236163904,"531",294,108127720.7,54649087.2678547
24,1,Essen,"45259","05113",Nordrhein-Westfalen,"05",Kreisfreie Stadt Essen,"452",6871135.9752278,3328419.31812452,48.4405974517798,"452",159,84337649.43,36322842.9805976
25,1,Jagsthausen,"74249","08125",Baden-Württemberg,"08",Landkreis Heilbronn,"742",17537206.6406483,676575.600156753,3.85794393611445,"742",934,325508355.4,15785818.6529381
26,1,Oberteuringen,"88094","08435",Baden-Württemberg,"08",Landkreis Bodenseekreis,"880",20146786.5671909,1441625.28027353,7.15560903703237,"880",1084,279430382,38105135.6845552
27,1,Lenningen,"73252","08116",Baden-Württemberg,"08",Landkreis Esslingen,"732",35109710.4360309,2982660.10309192,8.49525691340083,"732",971,246224234.7,40192782.0263305
28,1,Wennigsen (Deister),"30974","03241",Niedersachsen,"03",Landkreis Region Hannover,"309",53897001.0545227,5036525.50685226,9.34472309833578,"309",597,287860661.8,39784317.4364295
29,1,Schwarmstedt u.a.,"29690","03358",Niedersachsen,"03",Landkreis Heidekreis,"296",156417531.258757,8138637.93819767,5.20314946330036,"296",724,1554291028,73617963.5596112
30,1,Dollern,"21739","03359",Niedersachsen,"03",Landkreis Stade,"217",12017125.5014532,1097104.06246479,9.12950490807568,"217",525,1304278699,55609930.0209691
31,1,Königheim,"97953","08128",Baden-Württemberg,"08",Landkreis Main-Tauber-Kreis,"979",61244498.9825584,1470596.88628278,2.40119016517971,"979",1072,1077349763,43054839.2917312
32,1,Eriskirch,"88097","08435",Baden-Württemberg,"08",Landkreis Bodenseekreis,"880",14586521.2579188,1289549.91952702,8.84069543879043,"880",1084,279430382,38105135.6845552
33,1,Werbach,"97956","08128",Baden-Württemberg,"08",Landkreis Main-Tauber-Kreis,"979",43144939.2412341,1354550.58147871,3.139535262537,"979",1072,1077349763,43054839.2917312
34,1,Zell unter Aichelberg,"73119","08117",Baden-Württemberg,"08",Landkreis Göppingen,"731",6387709.96850724,1186940.98862965,18.5816355858598,"731",972,18086732.62,3179366.30852031
35,1,Holenberg,"37642","03255",Niedersachsen,"03",Landkreis Holzminden,"376",7460814.46002614,250721.801677217,3.36051516922911,"376",631,865622178.9,56687557.0581629
36,1,Aulendorf,"88326","08436",Baden-Württemberg,"08",Landkreis Ravensburg,"883",52339774.8803566,3258426.7066464,6.22552678932005,"883",1074,579830502.6,27892530.3584936
37,1,Wangen,"73117","08117",Baden-Württemberg,"08",Landkreis Göppingen,"731",9679981.44419654,1046196.29201379,10.8078336517991,"731",974,33278974.65,3224061.80636954
38,1,Helsa,"34298","06633",Hessen,"06",Landkreis Kassel,"342",26113165.6733595,2940898.65247615,11.2621299510861,"342",419,249927623.8,47495866.6855151
39,1,Eime,"31036","03254",Niedersachsen,"03",Landkreis Hildesheim,"310",21947334.8469015,1448236.09342238,6.59868773828294,"310",663,460708533.3,35927453.5837178
40,1,Nachrodt-Wiblingwerde,"58769","05962",Nordrhein-Westfalen,"05",Kreis Märkischer Kreis,"587",29034619.5916168,2420242.99081224,8.3357144844806,"587",102,106906453.4,16102180.2973909
41,1,Eschbach,"79427","08315",Baden-Württemberg,"08",Landkreis Breisgau-Hochschwarzwald,"794",10536266.6989845,3895888.83589166,36.9759891923309,"794",498,10555658.73,3895888.83589166
42,1,Fürstenau,"49584","03459",Niedersachsen,"03",Landkreis Osnabrück,"495",78667169.8755478,4186689.28303154,5.32202860437832,"495",643,1049184417,61823005.5663883
43,1,Ihringen,"79241","08315",Baden-Württemberg,"08",Landkreis Breisgau-Hochschwarzwald,"792",23038666.3413229,1602223.85895192,6.9544991676802,"792",502,883382420,44225923.2086668
44,1,Iserlohn,"58640","05962",Nordrhein-Westfalen,"05",Kreis Märkischer Kreis,"586",47141898.5709537,6787446.1044175,14.3979057063254,"586",104,193651478.1,40733517.3993369
45,1,Seibersbach,"55444","07133",Rheinland-Pfalz,"07",Landkreis Bad Kreuznach,"554",46724590.9209367,2836078.74108372,6.06977757361788,"554",435,622656229.8,34123043.2693446
46,1,Unna,"59423","05978",Nordrhein-Westfalen,"05",Kreis Unna,"594",8094539.80362663,6713718.96651228,82.9413299506454,"594",222,302246391,54585989.31575
47,1,Herbolzheim,"79336","08316",Baden-Württemberg,"08",Landkreis Emmendingen,"793",35501948.391936,4099090.23633526,11.5460993607504,"793",501,375611336.9,32779585.5749178
48,1,"Kettenkamp, Eggermühlen, Ankum","49577","03459",Niedersachsen,"03",Landkreis Osnabrück,"495",104962073.947953,4217202.8911658,4.01783494984767,"495",643,1049184417,61823005.5663883
49,1,Hamm,"59073","05915",Nordrhein-Westfalen,"05",Kreisfreie Stadt Hamm,"590",25184481.0094291,5420865.90742361,21.5246282240005,"590",227,226540784.9,57816354.5258602
50,1,Limburg,"65551","06533",Hessen,"06",Landkreis Limburg-Weilburg,"655",6426047.08236837,1116357.7303722,17.3723864152075,"655",307,499998244.5,59161277.9378933
51,1,Baden-Baden,"76534","08211",Baden-Württemberg,"08",Stadtkreis Baden-Baden,"765",76996701.1965028,4885364.52887797,6.34490108402185,"765",1044,451055310.4,32000369.4728253
52,1,Grünstadt,"67269","07332",Rheinland-Pfalz,"07",Landkreis Bad Dürkheim,"672",15760913.3922099,5111690.26010547,32.4327031873167,"672",469,197866575.3,35234485.1279812
53,1,Obrigheim (Pfalz),"67283","07332",Rheinland-Pfalz,"07",Landkreis Bad Dürkheim,"672",10797939.1357287,1605734.98768077,14.8707542013054,"672",469,197866575.3,35234485.1279812
54,1,Rödersheim-Gronau,"67127","07338",Rheinland-Pfalz,"07",Landkreis Rhein-Pfalz-Kreis,"671",8231806.9287406,889554.00345002,10.8063030529084,"671",476,254628897.3,34165601.2489175
55,1,Heßheim,"67258","07338",Rheinland-Pfalz,"07",Landkreis Rhein-Pfalz-Kreis,"672",5769353.51517418,1496086.51013992,25.9316144556753,"672",469,197866575.3,35234485.1279812
56,1,Sinn,"35764","06532",Hessen,"06",Landkreis Lahn-Dill-Kreis,"357",19227746.6343199,2890490.24703274,15.0329120827578,"357",570,759553418.4,64326779.8098013
57,1,Steinhagen,"33803","05754",Nordrhein-Westfalen,"05",Kreis Gütersloh,"338",56401280.000559,8307319.929688,14.7289563811418,"338",549,147973420.8,14043874.0546137
58,1,Goldenstedt,"49424","03460",Niedersachsen,"03",Landkreis Vechta,"494",89004302.4857535,4403802.35887272,4.94785334627797,"494",645,1167426974,60601076.4484255
