"","plz_code","ZIP_3","ZIP3_ID"
"1","52134","521",1026
"2","41372","413",283
"3","52379","523",1023
"4","54614","546",288
"5","53949","539",330
"6","54587","545",235
"7","54451","544",240
"8","41462","414",324
"9","41468","414",324
"10","40489","404",1070
"11","46539","465",90
"12","53533","535",342
"13","66127","661",260
"14","54421","544",241
"15","54558","545",234
"16","46342","463",95
"17","50676","506",958
"18","50733","507",957
"19","45127","451",160
"20","54470","544",243
"21","56828","568",425
"22","48529","485",196
"23","53119","531",294
"24","45259","452",159
"25","74249","742",934
"26","88094","880",1084
"27","73252","732",971
"28","30974","309",597
"29","29690","296",724
"30","21739","217",525
"31","97953","979",1072
"32","88097","880",1084
"33","97956","979",1072
"34","73119","731",972
"35","37642","376",631
"36","88326","883",1074
"37","73117","731",974
"38","34298","342",419
"39","31036","310",663
"40","58769","587",102
"41","79427","794",498
"42","49584","495",643
"43","79241","792",502
"44","58640","586",104
"45","55444","554",435
"46","59423","594",222
"47","79336","793",501
"48","49577","495",643
"49","59073","590",227
"50","65551","655",307
"51","76534","765",1044
"52","67269","672",469
"53","67283","672",469
"54","67127","671",476
"55","67258","672",469
"56","35764","357",570
"57","33803","338",549
"58","49424","494",645
"59","67680","676",451
"60","67292","672",470
"61","26215","262",799
"62","44536","445",329
"63","44339","443",336
"64","66503","665",253
"65","56593","565",350
"66","56281","562",364
"67","26845","268",784
"68","48565","485",194
"69","26532","265",789
"70","66500","665",251
"71","56599","565",350
"72","56648","566",349
"73","66629","666",249
"74","26899","268",784
"75","99085","990",1158
"76","19303","193",762
"77","82288","822",19
"78","91320","913",895
"79","82390","823",17
"80","06466","064",687
"81","96197","961",58
"82","91344","913",895
"83","91220","912",897
"84","99425","994",1147
"85","85232","852",1004
"86","85125","851",1005
"87","95336","953",156
"88","82431","824",13
"89","82178","821",20
"90","91244","912",897
"91","95158","951",93
"92","06366","063",689
"93","06722","067",673
"94","06114","061",692
"95","85656","856",1055
"96","85643","856",1055
"97","16945","169",869
"98","07958","079",739
"99","92694","926",840
"100","92507","925",847
"101","92705","927",835
"102","92540","925",847
"103","84082","840",49
"104","04207","042",868
"105","18279","182",698
"106","84178","841",45
"107","84564","845",80
"108","92552","925",847
"109","92714","927",838
"110","04279","042",868
"111","83256","832",135
"112","84168","841",45
"113","84130","841",45
"114","92444","924",849
"115","04838","048",858
"116","18320","183",697
"117","17207","172",719
"118","04827","048",858
"119","92549","925",847
"120","93497","934",50
"121","04860","048",858
"122","84367","843",83
"123","09474","094",1123
"124","84381","843",83
"125","94265","942",27
"126","84384","843",83
"127","09456","094",1123
"128","94149","941",1171
"129","94099","940",1176
"130","04936","049",857
"131","10589","105",363
"132","10587","105",363
"133","12163","121",527
"134","10551","105",363
"135","94127","941",1174
"136","10965","109",431
"137","13357","133",824
"138","94157","941",1175
"139","16244","162",888
"140","10243","102",383
"141","12043","120",530
"142","33335","333",509
"143","33619","336",499
"144","28790","287",896
"145","33615","336",499
"146","49419","494",645
"147","64347","643",1035
"148","35582","355",574
"149","27576","275",922
"150","75385","753",1121
"151","75015","750",1131
"152","60325","603",62
"153","64289","642",1037
"154","34519","345",408
"155","75245","752",1124
"156","35104","351",585
"157","35519","355",575
"158","33102","331",511
"159","60388","603",62
"160","72401","724",72
"161","28217","282",902
"162","69151","691",187
"163","71159","711",125
"164","71292","712",124
"165","35466","354",576
"166","28207","282",902
"167","71157","711",126
"168","64711","647",1099
"169","72461","724",72
"170","63694","636",1161
"171","32825","328",646
"172","31675","316",675
"173","34439","344",409
"174","72510","725",71
"175","63549","635",1163
"176","27299","272",927
"177","72488","724",72
"178","88696","886",1064
"179","72770","727",66
"180","71679","716",116
