"","year","MSI","sd_MSI","lower_CL_MSI","upper_CL_MSI","Trend","lower_CL_trend","upper_CL_trend","trend_class","ZIP3_ID"
"1",2006,99.99,0,99.99,99.99,100,99.47,100.47,"moderate_decline","1"
"2",2007,99.13,0.76,97.64,100.64,99.12,98.48,99.47,"moderate_decline","1"
"3",2008,98.24,0.8,96.68,99.81,98.23,97.5,98.48,"moderate_decline","1"
"4",2009,97.31,0.8,95.75,98.9,97.3,96.53,98.48,"moderate_decline","1"
"5",2010,96.36,0.78,94.85,97.89,96.36,95.57,97.5,"moderate_decline","1"
"6",2011,95.4,0.73,93.98,96.85,95.39,94.62,96.53,"moderate_decline","1"
"7",2012,94.38,0.74,92.94,95.84,94.41,93.68,95.57,"moderate_decline","1"
"8",2013,93.43,0.8,91.87,95.01,93.42,92.75,94.62,"moderate_decline","1"
"9",2014,92.4,0.78,90.89,93.94,92.4,91.82,92.75,"moderate_decline","1"
"10",2015,91.38,0.8,89.82,92.97,91.38,90.91,91.82,"moderate_decline","1"
"11",2016,90.37,0.8,88.82,91.94,90.35,90.01,90.91,"moderate_decline","1"
"12",2017,89.24,0.84,87.6,90.91,89.3,88.22,90.01,"moderate_decline","1"
"13",2018,88.29,0.84,86.67,89.94,88.22,87.35,89.11,"moderate_decline","1"
"14",2019,87.15,0.87,85.46,88.88,87.14,86.48,88.22,"moderate_decline","1"
"15",2020,86.01,0.94,84.19,87.87,86.04,84.76,87.35,"moderate_decline","1"
"16",2021,84.92,0.97,83.03,86.84,84.92,83.09,86.48,NA,"1"
"17",2006,100.01,0,100.01,100.01,100,99.49,100.49,"moderate_decline","10"
"18",2007,99.15,0.66,97.87,100.44,99.17,98.5,99.49,"moderate_decline","10"
"19",2008,98.35,0.65,97.08,99.64,98.31,97.52,98.5,"moderate_decline","10"
"20",2009,97.43,0.63,96.2,98.66,97.44,96.55,97.52,"moderate_decline","10"
"21",2010,96.56,0.62,95.35,97.78,96.55,95.59,97.52,"moderate_decline","10"
"22",2011,95.63,0.6,94.47,96.81,95.64,94.64,96.55,"moderate_decline","10"
"23",2012,94.68,0.63,93.45,95.92,94.7,93.7,95.59,"moderate_decline","10"
"24",2013,93.76,0.6,92.58,94.94,93.73,92.77,94.64,"moderate_decline","10"
"25",2014,92.79,0.6,91.62,93.97,92.76,91.84,93.7,"moderate_decline","10"
"26",2015,91.74,0.58,90.61,92.87,91.76,90.93,92.77,"moderate_decline","10"
"27",2016,90.75,0.63,89.53,91.99,90.76,90.02,90.93,"moderate_decline","10"
