"","year","MSI","sd_MSI","lower_CL_MSI","upper_CL_MSI","Trend","lower_CL_trend","upper_CL_trend","trend_class","ZIP3_ID"
"1",2006,100.03,0,100.03,100.03,100,99.51,100.51,"moderate_decline","1"
"2",2007,97.61,1.1,95.47,99.79,97.61,96.57,98.52,"moderate_decline","1"
"3",2008,95.21,1.13,93.01,97.45,95.26,94.66,96.57,"moderate_decline","1"
"4",2009,92.94,1.07,90.86,95.06,92.95,91.86,93.72,"moderate_decline","1"
"5",2010,90.71,1.02,88.75,92.73,90.69,90.04,91.86,"moderate_decline","1"
"6",2011,88.46,1.06,86.41,90.58,88.47,87.38,89.15,"moderate_decline","1"
"7",2012,86.27,1.05,84.24,88.35,86.28,85.65,87.38,"moderate_decline","1"
"8",2013,84.16,1.05,82.14,86.24,84.12,83.12,84.8,"moderate_decline","1"
"9",2014,81.96,1.05,79.93,84.05,82.01,80.66,83.12,"moderate_decline","1"
"10",2015,79.91,1.08,77.82,82.06,79.93,79.06,80.66,"moderate_decline","1"
"11",2016,77.91,1.08,75.82,80.06,77.88,76.73,79.06,"moderate_decline","1"
"12",2017,75.86,1.07,73.79,77.98,75.86,75.21,76.73,"moderate_decline","1"
"13",2018,73.92,1.11,71.77,76.14,73.87,72.99,74.46,"moderate_decline","1"
"14",2019,71.87,1.06,69.82,73.98,71.91,70.83,72.99,"moderate_decline","1"
"15",2020,69.96,1.11,67.82,72.16,69.98,68.74,71.54,"moderate_decline","1"
"16",2021,68.11,1.23,65.74,70.57,68.09,66.04,70.12,NA,"1"
"17",2006,100.02,0,100.02,100.02,100,99.5,100.5,"moderate_decline","10"
"18",2007,97.46,1.03,95.45,99.51,97.48,96.56,98.51,"moderate_decline","10"
"19",2008,95.02,0.95,93.17,96.9,95.02,94.65,95.6,"moderate_decline","10"
"20",2009,92.61,0.92,90.82,94.42,92.6,91.85,93.71,"moderate_decline","10"
"21",2010,90.23,0.91,88.47,92.02,90.22,89.14,90.94,"moderate_decline","10"
"22",2011,87.91,0.85,86.27,89.6,87.9,87.37,89.14,"moderate_decline","10"
"23",2012,85.58,0.77,84.1,87.1,85.62,84.79,86.5,"moderate_decline","10"
"24",2013,83.36,0.82,81.78,84.98,83.37,82.28,83.95,"moderate_decline","10"
"25",2014,81.16,0.77,79.67,82.69,81.17,80.65,82.28,"moderate_decline","10"
"26",2015,79,0.81,77.44,80.61,79.01,78.27,79.85,"moderate_decline","10"
"27",2016,76.93,0.81,75.36,78.55,76.87,75.96,77.49,"moderate_decline","10"
"28",2017,74.74,0.83,73.13,76.4,74.77,73.71,75.2,"moderate_decline","10"
"29",2018,72.65,0.78,71.13,74.2,72.72,72.25,73.71,"moderate_decline","10"
"30",2019,70.71,0.83,69.1,72.36,70.72,70.12,71.53,"moderate_decline","10"
"31",2020,68.77,0.83,67.17,70.41,68.76,68.05,69.42,"moderate_decline","10"
"32",2021,66.86,0.87,65.18,68.6,66.85,65.38,68.05,NA,"10"
"33",2006,100.01,0,100.01,100.01,100,98.5,101.5,"moderate_decline","100"
"34",2007,97.94,1.3,95.41,100.53,97.99,96.55,98.5,"moderate_decline","100"
"35",2008,96.07,1.39,93.39,98.83,95.99,94.64,97.52,"moderate_decline","100"
"36",2009,93.99,1.28,91.5,96.54,94,92.77,95.59,"moderate_decline","100"
"37",2010,91.94,1.22,89.56,94.37,92.01,90.93,92.77,"moderate_decline","100"
"38",2011,90.12,1.23,87.74,92.56,90.03,89.13,90.93,"moderate_decline","100"
"39",2012,88.07,1.19,85.76,90.43,88.07,87.36,89.13,"moderate_decline","100"
"40",2013,86.13,1.15,83.9,88.41,86.13,84.78,87.36,"moderate_decline","100"
"41",2014,84.16,1.15,81.93,86.44,84.21,83.1,85.63,"moderate_decline","100"
"42",2015,82.35,1.18,80.06,84.68,82.31,81.46,83.1,"moderate_decline","100"
"43",2016,80.43,1.18,78.15,82.77,80.43,79.05,81.46,"moderate_decline","100"
"44",2017,78.6,1.2,76.28,80.98,78.56,77.48,79.84,"moderate_decline","100"
"45",2018,76.75,1.18,74.47,79.1,76.71,75.95,77.48,"moderate_decline","100"
"46",2019,74.82,1.25,72.4,77.31,74.89,73.7,75.95,"moderate_decline","100"
"47",2020,73.06,1.24,70.66,75.53,73.08,71.53,74.45,"moderate_decline","100"
"48",2021,71.34,1.24,68.94,73.81,71.3,69.41,72.97,NA,"100"
"49",2006,99.94,0,99.94,99.94,100,98.43,101.43,"moderate_decline","1000"
"50",2007,98.01,1.53,95.07,101.04,97.95,96.48,99.42,"moderate_decline","1000"
"51",2008,96,1.61,92.9,99.19,95.93,94.57,97.45,"moderate_decline","1000"
"52",2009,93.93,1.52,91,96.96,93.93,92.7,95.52,"moderate_decline","1000"
"53",2010,91.9,1.44,89.12,94.77,91.96,90.86,93.63,"moderate_decline","1000"
"54",2011,90.03,1.43,87.27,92.88,90.02,89.07,91.78,"moderate_decline","1000"
"55",2012,88.13,1.51,85.23,91.15,88.14,86.43,89.07,"moderate_decline","1000"
"56",2013,86.3,1.5,83.41,89.28,86.27,84.72,87.3,"moderate_decline","1000"
"57",2014,84.34,1.44,81.56,87.2,84.41,83.04,85.57,"moderate_decline","1000"
"58",2015,82.65,1.44,79.87,85.52,82.57,81.4,83.88,"moderate_decline","1000"
"59",2016,80.82,1.4,78.12,83.62,80.73,79.79,82.22,"moderate_decline","1000"
"60",2017,78.79,1.39,76.12,81.55,78.92,77.43,80.59,"moderate_decline","1000"
"61",2018,77.11,1.51,74.22,80.12,77.13,75.9,78.21,"moderate_decline","1000"
"62",2019,75.37,1.43,72.62,78.23,75.36,74.39,76.66,"moderate_decline","1000"
"63",2020,73.66,1.53,70.73,76.71,73.62,72.19,75.14,"moderate_decline","1000"
"64",2021,71.87,1.56,68.89,75,71.9,69.36,74.39,NA,"1000"
"65",2006,100.02,0,100.02,100.02,100,98.51,101.51,"moderate_decline","1001"
"66",2007,97.87,1.66,94.67,101.18,97.87,96.56,99.5,"moderate_decline","1001"
"67",2008,95.75,1.44,92.96,98.62,95.78,94.65,96.56,"moderate_decline","1001"
"68",2009,93.73,1.64,90.57,96.99,93.72,92.77,94.65,"moderate_decline","1001"
"69",2010,91.72,1.53,88.77,94.76,91.69,90.03,92.77,"moderate_decline","1001"
"70",2011,89.68,1.41,86.95,92.48,89.69,88.25,90.94,"moderate_decline","1001"
"71",2012,87.7,1.4,85,90.5,87.71,86.5,89.14,"moderate_decline","1001"
"72",2013,85.75,1.45,82.97,88.64,85.77,84.79,87.37,"moderate_decline","1001"
"73",2014,83.86,1.47,81.04,86.78,83.84,82.28,84.79,"moderate_decline","1001"
"74",2015,81.93,1.39,79.26,84.71,81.93,80.65,83.11,"moderate_decline","1001"
"75",2016,80.05,1.46,77.24,82.97,80.04,79.06,81.46,"moderate_decline","1001"
"76",2017,78.16,1.52,75.25,81.19,78.18,76.72,79.85,"moderate_decline","1001"
"77",2018,76.3,1.52,73.37,79.34,76.35,75.2,77.49,"moderate_decline","1001"
"78",2019,74.63,1.49,71.76,77.61,74.56,72.98,75.96,"moderate_decline","1001"
"79",2020,72.71,1.45,69.94,75.61,72.8,71.53,74.45,"moderate_decline","1001"
"80",2021,71.12,1.52,68.2,74.17,71.08,68.73,73.71,NA,"1001"
"81",2006,100.03,0,100.03,100.03,100,98.52,101.52,"moderate_decline","1002"
"82",2007,97.56,2.12,93.48,101.81,97.55,95.61,99.51,"moderate_decline","1002"
"83",2008,95.05,2.07,91.07,99.2,95.12,93.72,96.57,"moderate_decline","1002"
"84",2009,92.75,2.05,88.81,96.85,92.74,90.95,94.66,"moderate_decline","1002"
"85",2010,90.39,2.08,86.41,94.57,90.38,88.26,92.78,"moderate_decline","1002"
"86",2011,88.06,2.1,84.04,92.28,88.06,86.51,90.04,"moderate_decline","1002"
"87",2012,85.77,2.03,81.88,89.85,85.76,83.95,87.38,"moderate_decline","1002"
"88",2013,83.6,1.99,79.79,87.6,83.5,81.47,85.65,"moderate_decline","1002"
"89",2014,81.14,2.06,77.19,85.29,81.3,79.06,83.12,"moderate_decline","1002"
"90",2015,79.13,2.07,75.19,83.29,79.15,77.5,81.47,"moderate_decline","1002"
