"","year","MSI","sd_MSI","lower_CL_MSI","upper_CL_MSI","Trend","lower_CL_trend","upper_CL_trend","trend_class","ZIP3_ID"
"1",2006,99.98,0,99.98,99.98,100,98.47,101.47,"moderate_increase","1"
"2",2007,101.3,1.87,97.71,105.02,101.27,100.46,102.49,"moderate_increase","1"
"3",2008,102.58,1.93,98.87,106.43,102.51,101.47,103.52,"moderate_increase","1"
"4",2009,103.64,1.71,100.33,107.05,103.73,102.49,105.61,"moderate_increase","1"
"5",2010,104.89,1.83,101.35,108.53,104.93,103.52,106.67,"moderate_increase","1"
"6",2011,106.12,1.74,102.76,109.58,106.1,104.56,107.75,"moderate_increase","1"
"7",2012,107.28,1.69,104.01,110.64,107.24,105.61,108.83,"moderate_increase","1"
"8",2013,108.41,1.9,104.76,112.19,108.35,106.67,109.92,"moderate_increase","1"
"9",2014,109.41,1.82,105.9,113.03,109.43,107.75,111.03,"moderate_increase","1"
"10",2015,110.39,1.93,106.68,114.24,110.47,108.83,112.14,"moderate_increase","1"
"11",2016,111.45,1.97,107.65,115.39,111.53,109.92,113.27,"stable","1"
"12",2017,112.66,2.06,108.7,116.77,112.55,111.03,114.41,"stable","1"
"13",2018,113.55,2.17,109.39,117.88,113.52,112.14,115.56,"stable","1"
"14",2019,114.51,2.38,109.95,119.26,114.45,112.14,116.72,"stable","1"
"15",2020,115.33,2.34,110.83,120.02,115.34,113.27,117.89,"stable","1"
"16",2021,116.13,2.59,111.18,121.32,116.17,112.14,120.27,NA,"1"
"17",2006,100,0,100,100,100,98.49,101.49,"moderate_increase","10"
"18",2007,101.62,1.51,98.71,104.62,101.58,100.48,102.51,"moderate_increase","10"
"19",2008,103.14,1.48,100.28,106.09,103.17,102.51,104.58,"moderate_increase","10"
"20",2009,104.73,1.51,101.82,107.73,104.75,103.54,105.63,"moderate_increase","10"
"21",2010,106.33,1.48,103.47,109.26,106.34,104.58,107.77,"moderate_increase","10"
"22",2011,107.94,1.43,105.17,110.78,107.92,106.69,108.85,"moderate_increase","10"
"23",2012,109.47,1.49,106.59,112.41,109.5,107.77,111.05,"moderate_increase","10"
"24",2013,111.13,1.52,108.19,114.14,111.07,109.94,112.16,"moderate_increase","10"
"25",2014,112.54,1.56,109.51,115.64,112.58,111.05,114.43,"moderate_increase","10"
"26",2015,114.14,1.6,111.06,117.31,114.08,112.16,115.58,"moderate_increase","10"
"27",2016,115.59,1.69,112.32,118.94,115.55,114.43,116.74,"moderate_increase","10"
"28",2017,116.87,1.69,113.61,120.22,117.01,115.58,119.1,"moderate_increase","10"
"29",2018,118.48,1.71,115.16,121.88,118.46,116.74,120.3,"moderate_increase","10"
"30",2019,119.94,1.88,116.32,123.67,119.91,117.92,121.51,"moderate_increase","10"
"31",2020,121.34,1.94,117.6,125.2,121.35,119.1,123.96,"stable","10"
"32",2021,122.79,2.18,118.59,127.13,122.78,119.1,126.47,NA,"10"
"33",2006,99.97,0,99.97,99.97,100,98.46,101.46,"moderate_increase","100"
"34",2007,101.71,2.1,97.67,105.91,101.64,100.45,103.51,"moderate_increase","100"
"35",2008,103.22,2.01,99.34,107.23,103.28,101.46,104.55,"moderate_increase","100"
"36",2009,104.99,1.91,101.3,108.8,104.92,103.51,106.66,"moderate_increase","100"
"37",2010,106.56,2,102.71,110.56,106.53,104.55,108.82,"moderate_increase","100"
"38",2011,108.1,2,104.27,112.09,108.16,106.66,109.91,"moderate_increase","100"
"39",2012,109.71,1.94,105.99,113.58,109.77,107.73,112.13,"moderate_increase","100"
"40",2013,111.4,2.16,107.26,115.72,111.37,109.91,113.26,"moderate_increase","100"
