"","year","MSI","sd_MSI","lower_CL_MSI","upper_CL_MSI","Trend","lower_CL_trend","upper_CL_trend","trend_class","ZIP3_ID"
"1",2006,100,0,100,100,100,99.48,100.48,"moderate_decline","1"
"2",2007,97.38,1.08,95.28,99.52,97.38,96.54,98.49,"moderate_decline","1"
"3",2008,94.8,1.06,92.74,96.91,94.8,93.69,95.58,"moderate_decline","1"
"4",2009,92.29,1.04,90.28,94.34,92.26,90.92,92.76,"moderate_decline","1"
"5",2010,89.77,1.06,87.72,91.86,89.74,89.12,90.92,"moderate_decline","1"
"6",2011,87.27,1,85.33,89.26,87.27,86.48,88.23,"moderate_decline","1"
"7",2012,84.78,1.03,82.77,86.83,84.83,83.93,85.62,"moderate_decline","1"
"8",2013,82.44,1.01,80.49,84.43,82.43,81.45,83.09,"moderate_decline","1"
"9",2014,80.12,1.02,78.14,82.14,80.08,79.04,80.64,"moderate_decline","1"
"10",2015,77.77,1.02,75.8,79.78,77.76,76.71,79.04,"moderate_decline","1"
"11",2016,75.48,1.04,73.47,77.53,75.5,74.44,76.71,"moderate_decline","1"
"12",2017,73.26,1.1,71.13,75.45,73.26,72.24,74.44,"moderate_decline","1"
"13",2018,71.07,1.06,69.03,73.17,71.08,70.1,72.24,"moderate_decline","1"
"14",2019,68.96,1.07,66.89,71.09,68.94,68.03,70.1,"moderate_decline","1"
"15",2020,66.85,1.12,64.69,69.07,66.83,65.36,68.03,"moderate_decline","1"
"16",2021,64.76,1.2,62.44,67.15,64.77,62.8,66.68,NA,"1"
"17",2006,100,0,100,100,100,99.48,100.48,"moderate_decline","10"
"18",2007,97.45,0.88,95.73,99.2,97.4,96.54,98.49,"moderate_decline","10"
"19",2008,94.8,0.85,93.14,96.49,94.86,94.63,95.58,"moderate_decline","10"
"20",2009,92.34,0.87,90.65,94.06,92.35,91.83,92.76,"moderate_decline","10"
"21",2010,89.86,0.85,88.2,91.54,89.87,89.12,90.92,"moderate_decline","10"
"22",2011,87.48,0.77,85.98,88.99,87.43,86.48,88.23,"moderate_decline","10"
