"","year","MSI","sd_MSI","lower_CL_MSI","upper_CL_MSI","Trend","lower_CL_trend","upper_CL_trend","trend_class","ZIP3_ID"
"1",2006,100.01,0,100.01,100.01,100,98.5,101.5,"moderate_increase","1"
"2",2007,100.43,1.41,97.69,103.24,100.42,99.49,101.5,"moderate_increase","1"
"3",2008,100.86,1.45,98.05,103.75,100.83,99.49,101.5,"moderate_increase","1"
"4",2009,101.14,1.43,98.37,103.98,101.24,99.49,102.52,"moderate_increase","1"
"5",2010,101.71,1.58,98.66,104.84,101.62,100.49,102.52,"moderate_increase","1"
"6",2011,102.07,1.46,99.24,104.97,102,100.49,103.55,"stable","1"
"7",2012,102.24,1.39,99.55,105,102.37,101.5,103.55,"stable","1"
"8",2013,102.77,1.43,100,105.61,102.73,101.5,104.59,"stable","1"
"9",2014,103.05,1.51,100.13,106.05,103.06,101.5,104.59,"stable","1"
"10",2015,103.38,1.46,100.56,106.27,103.37,101.5,104.59,"stable","1"
"11",2016,103.75,1.54,100.77,106.82,103.66,102.52,104.59,"stable","1"
"12",2017,103.8,1.59,100.72,106.97,103.94,102.52,105.64,"stable","1"
"13",2018,104.19,1.53,101.23,107.23,104.21,102.52,105.64,"stable","1"
"14",2019,104.52,1.8,101.06,108.1,104.47,103.55,105.64,"stable","1"
"15",2020,104.72,1.86,101.14,108.42,104.73,102.52,106.71,"stable","1"
"16",2021,104.98,1.81,101.49,108.59,104.97,102.52,107.78,NA,"1"
"17",2006,100,0,100,100,100,98.49,101.49,"stable","10"
"18",2007,100.21,1.24,97.81,102.67,100.21,99.48,101.49,"stable","10"
"19",2008,100.42,1.25,97.99,102.9,100.41,99.48,101.49,"stable","10"
"20",2009,100.59,1.2,98.26,102.97,100.6,99.48,101.49,"stable","10"
"21",2010,100.75,1.16,98.49,103.04,100.78,99.48,101.49,"stable","10"
"22",2011,101.01,1.22,98.65,103.43,100.95,99.48,102.51,"stable","10"
"23",2012,101.01,1.18,98.73,103.33,101.11,100.48,102.51,"stable","10"
"24",2013,101.34,1.16,99.09,103.64,101.24,100.48,102.51,"stable","10"
"25",2014,101.43,1.1,99.29,103.62,101.37,100.48,102.51,"stable","10"
