"","year","MSI","sd_MSI","lower_CL_MSI","upper_CL_MSI","Trend","lower_CL_trend","upper_CL_trend","trend_class","ZIP3_ID"
"1",2006,100.06,0,100.06,100.06,100,98.55,101.55,"moderate_increase","1"
"2",2007,101.24,1.54,98.27,104.29,101.28,100.54,102.57,"moderate_increase","1"
"3",2008,102.47,1.59,99.39,105.64,102.56,101.55,103.6,"moderate_increase","1"
"4",2009,103.88,1.41,101.14,106.69,103.86,102.57,104.64,"moderate_increase","1"
"5",2010,105.25,1.48,102.38,108.2,105.16,103.6,106.76,"moderate_increase","1"
"6",2011,106.43,1.33,103.85,109.06,106.47,104.64,107.83,"moderate_increase","1"
"7",2012,107.7,1.4,104.98,110.49,107.78,106.76,108.92,"moderate_increase","1"
"8",2013,109.12,1.49,106.23,112.09,109.07,107.83,110.01,"moderate_increase","1"
"9",2014,110.38,1.43,107.61,113.22,110.34,108.92,111.12,"moderate_increase","1"
"10",2015,111.6,1.36,108.97,114.31,111.62,110.01,113.36,"moderate_increase","1"
"11",2016,112.82,1.42,110.08,115.64,112.86,111.12,114.5,"moderate_increase","1"
"12",2017,114.12,1.47,111.27,117.03,114.11,112.23,115.65,"moderate_increase","1"
"13",2018,115.33,1.48,112.46,118.27,115.35,114.5,116.81,"moderate_increase","1"
"14",2019,116.55,1.5,113.64,119.54,116.6,115.65,117.99,"moderate_increase","1"
"15",2020,117.93,1.58,114.87,121.06,117.84,115.65,119.17,"stable","1"
"16",2021,119.07,1.64,115.89,122.33,119.09,116.81,121.58,NA,"1"
"17",2006,99.98,0,99.98,99.98,100,98.47,101.47,"moderate_increase","10"
"18",2007,101.39,1.3,98.87,103.97,101.37,100.46,102.49,"moderate_increase","10"
"19",2008,102.83,1.26,100.4,105.32,102.77,101.47,103.52,"moderate_increase","10"
"20",2009,104.13,1.26,101.68,106.63,104.17,103.52,105.61,"moderate_increase","10"
"21",2010,105.62,1.18,103.33,107.96,105.61,104.56,106.67,"moderate_increase","10"
"22",2011,106.98,1.22,104.6,109.4,107.06,105.61,107.75,"moderate_increase","10"
"23",2012,108.61,1.19,106.3,110.97,108.55,107.75,109.92,"moderate_increase","10"
"24",2013,110.02,1.19,107.72,112.37,110.03,108.83,111.03,"moderate_increase","10"
"25",2014,111.54,1.16,109.29,113.85,111.52,109.92,112.14,"moderate_increase","10"
"26",2015,113,1.22,110.64,115.41,112.99,112.14,114.41,"moderate_increase","10"
"27",2016,114.44,1.2,112.12,116.81,114.45,113.27,115.56,"moderate_increase","10"
"28",2017,115.86,1.27,113.41,118.37,115.92,114.41,116.72,"moderate_increase","10"
"29",2018,117.43,1.21,115.09,119.83,117.39,116.72,119.08,"moderate_increase","10"
"30",2019,118.8,1.26,116.35,121.3,118.87,117.89,120.27,"moderate_increase","10"
"31",2020,120.41,1.39,117.71,123.17,120.36,119.08,121.48,"moderate_increase","10"
"32",2021,121.83,1.36,119.19,124.54,121.85,120.27,123.94,NA,"10"
"33",2006,99.93,0,99.93,99.93,100,98.42,101.42,"moderate_increase","100"
"34",2007,102.03,1.8,98.57,105.61,101.91,100.41,103.47,"moderate_increase","100"
"35",2008,103.87,1.74,100.52,107.33,103.84,102.44,105.56,"moderate_increase","100"
"36",2009,105.69,1.79,102.24,109.27,105.79,104.51,107.69,"moderate_increase","100"
"37",2010,107.79,1.81,104.31,111.39,107.78,106.62,109.87,"moderate_increase","100"
"38",2011,109.74,1.77,106.33,113.26,109.78,107.69,110.97,"moderate_increase","100"
"39",2012,111.78,1.7,108.49,115.16,111.82,109.87,113.21,"moderate_increase","100"
"40",2013,114.02,1.61,110.91,117.21,113.88,112.09,115.5,"moderate_increase","100"
"41",2014,115.89,1.65,112.7,119.15,115.94,114.35,117.83,"moderate_increase","100"
"42",2015,117.99,1.77,114.58,121.5,118,116.66,119.02,"moderate_increase","100"
