"","year","MSI","sd_MSI","lower_CL_MSI","upper_CL_MSI","Trend","lower_CL_trend","upper_CL_trend","trend_class","ZIP3_ID"
"1",2006,99.97,0,99.97,99.97,100,98.46,101.46,"moderate_decline","1"
"2",2007,98.56,2.09,94.55,102.74,98.56,97.48,100.45,"moderate_decline","1"
"3",2008,97.17,1.96,93.4,101.08,97.08,95.55,98.46,"moderate_decline","1"
"4",2009,95.6,1.86,92.03,99.31,95.56,93.66,97.48,"moderate_decline","1"
"5",2010,93.91,1.94,90.19,97.79,94.01,91.81,95.55,"moderate_decline","1"
"6",2011,92.37,1.87,88.77,96.11,92.41,90.89,94.6,"moderate_decline","1"
"7",2012,90.84,1.94,87.12,94.72,90.79,89.09,92.73,"moderate_decline","1"
"8",2013,89.19,1.86,85.62,92.9,89.15,87.33,90.89,"moderate_decline","1"
"9",2014,87.42,2,83.59,91.42,87.45,85.6,89.09,"moderate_decline","1"
"10",2015,85.74,1.96,81.99,89.66,85.72,83.9,87.33,"moderate_decline","1"
"11",2016,83.96,1.97,80.2,87.9,83.95,82.24,85.6,"moderate_decline","1"
"12",2017,82.19,2.2,78,86.61,82.18,80.61,83.9,"moderate_decline","1"
"13",2018,80.34,2.21,76.13,84.79,80.44,78.23,82.24,"moderate_decline","1"
"14",2019,78.61,2.27,74.29,83.2,78.7,76.68,80.61,"moderate_decline","1"
"15",2020,77.02,2.57,72.14,82.24,77,74.42,79.81,"stable","1"
"16",2021,75.34,2.56,70.49,80.52,75.3,71.5,79.02,NA,"1"
"17",2006,99.98,0,99.98,99.98,100,98.47,101.47,"moderate_decline","10"
"18",2007,98.3,1.63,95.15,101.55,98.27,97.49,99.46,"moderate_decline","10"
"19",2008,96.52,1.52,93.58,99.56,96.51,95.56,97.49,"moderate_decline","10"
"20",2009,94.76,1.61,91.66,97.95,94.73,93.67,96.52,"moderate_decline","10"
"21",2010,92.88,1.55,89.89,95.97,92.94,91.81,94.61,"moderate_decline","10"
"22",2011,91.16,1.55,88.17,94.26,91.13,90,92.74,"moderate_decline","10"
"23",2012,89.28,1.52,86.36,92.31,89.31,88.21,90.9,"moderate_decline","10"
"24",2013,87.49,1.55,84.51,90.58,87.48,85.61,89.1,"moderate_decline","10"
"25",2014,85.66,1.45,82.87,88.54,85.62,83.91,87.34,"moderate_decline","10"
"26",2015,83.69,1.52,80.77,86.71,83.75,82.25,85.61,"moderate_decline","10"
